Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
1997,Robert Horry,54,2.9,156,133,58.6,6.6
2005,Anderson Varejao,54,2.9,158,138,57.2,4.1
2012,Samardo Samuels,54,2.9,154,161,47.8,-5.6
2013,Gustavo Ayon,55,2.9,162,130,62.3,8.6
2001,Zan Tabak,55,2.9,162,132,61.4,9.4
2007,Vladimir Radmanovic,55,2.9,160,145,55.2,0.4
2001,Reggie Slater,55,2.9,162,149,54.4,2.4
2001,Calvin Booth,55,2.9,162,164,49.4,-2.6
2021,Jeff Teague,55,2.9,160,170,47.1,-9.1
2007,Ronnie Brewer,56,2.9,164,127,64.6,9.8
2000,Todd MacCulloch,56,2.9,162,130,62.3,9.3
2002,Lawrence Funderburke,56,2.9,162,136,59.6,6.9
2021,Sekou Doumbouya,56,2.9,162,158,51.3,-4.8
2004,Kendall Gill,56,2.9,162,184,44,-8
2009,Joe Smith,57,2.9,164,143,57.3,2.9
2006,Trevor Ariza,57,2.9,164,164,50,-3.9
2019,Sterling Brown,58,2.9,170,149,57,1.5
2009,Kwame Brown,58,2.9,170,151,56.3,1.9
2022,Patrick Beverley,58,2.9,170,170,50,-6.6
2004,Marko Jaric,58,2.9,168,177,47.5,-4.6
2013,Earl Clark,59,2.9,172,150,57.3,3.6
2013,Marquis Daniels,59,2.9,174,193,45.1,-8.6
2018,Salah Mejri,61,2.9,174,130,66.9,11.6
2016,Marcus Thornton,61,2.9,178,180,49.4,-4.5
2020,Lonnie Walker IV,61,2.9,176,191,46.1,-9.6
2003,Kenny Anderson,61,2.9,174,191,45.5,-7
2012,Ekpe Udoh,61,2.9,178,192,46.4,-7.1
2022,Ziaire Williams,62,2.9,182,135,67.4,10.8
2009,Antonio McDyess,62,2.9,182,146,62.3,7.9
2010,Ben Gordon,62,2.9,180,191,47.1,-8.3
2022,Damion Lee,63,2.9,180,137,65.7,9.1
2018,Daniel Theis,63,2.9,180,137,65.7,10.4
2009,Marcin Gortat,63,2.9,184,151,60.9,6.5
2020,Gorgui Dieng,63,2.9,180,154,58.4,2.8
2015,Lavoy Allen,63,2.9,182,159,57.2,3.7
2007,Brad Miller,63,2.9,180,165,54.5,-0.2
2018,Wesley Matthews,63,2.9,180,188,47.9,-7.5
2018,Andre Iguodala,64,2.9,186,145,64.1,8.8
2016,Devin Harris,64,2.9,186,164,56.7,2.7
2017,Deron Williams,64,2.9,188,183,51.4,-3.8
2015,Jamal Crawford,64,2.9,188,196,48,-5.5
2016,Andre Iguodala,65,2.9,190,145,65.5,11.5
2012,Brandon Rush,65,2.9,190,160,59.4,5.9
2022,Cory Joseph,65,2.9,190,186,51.1,-5.6
2017,Tim Frazier,65,2.9,186,192,48.4,-6.7
2009,Antoine Wright,65,2.9,186,194,47.9,-6.5
2012,Omri Casspi,65,2.9,188,197,47.7,-5.7
2000,Brevin Knight,65,2.9,188,222,42.3,-10.6
2019,Stanley Johnson,66,2.9,194,191,50.8,-4.8
2010,Mike Dunleavy,67,2.9,194,167,58.1,2.7
2018,Trevor Ariza,67,2.9,194,180,53.9,-1.4
2007,Jerry Stackhouse,67,2.9,194,204,47.5,-7.2
2003,Samaki Walker,67,2.9,194,213,45.5,-7
2009,Jose Calderon,68,2.9,194,135,71.9,17.4
2010,Julian Wright,68,2.9,194,162,59.9,4.5
2006,Fred Jones,68,2.9,196,182,53.8,0
2021,Desmond Bane,68,2.9,196,183,53.6,-2.6
2016,Ben McLemore,68,2.9,198,184,53.8,-0.2
2017,Mindaugas Kuzminskas,68,2.9,200,187,53.5,-1.7
2016,Leandro Barbosa,68,2.9,196,192,51,-2.9
2020,Kent Bazemore,68,2.9,198,227,43.6,-12
2006,Viktor Khryapa,69,2.9,202,164,61.6,7.7
2020,James Ennis III,69,2.9,198,173,57.2,1.6
2018,Al-Farouq Aminu,69,2.9,198,201,49.3,-6.1
2005,Greg Buckner,70,2.9,202,149,67.8,14.7
2013,Reggie Jackson,70,2.9,204,156,65.4,11.7
2017,Nikola Mirotic,70,2.9,204,172,59.3,4.1
2008,Anthony Carter,70,2.9,206,178,57.9,3.4
2015,CJ Miles,70,2.9,206,190,54.2,0.7
2017,Joffrey Lauvergne,70,2.9,206,200,51.5,-3.7
1997,Tyus Edney,70,2.9,206,237,43.5,-8.6
2018,Shaun Livingston,71,2.9,204,178,57.3,2
2002,Slava Medvedenko,71,2.9,204,188,54.3,1.6
2011,Omri Casspi,71,2.9,208,196,53.1,-1.4
2011,O.J. Mayo,71,2.9,206,214,48.1,-6.3
2020,Terence Davis,72,2.9,206,177,58.2,2.5
2011,Tracy McGrady,72,2.9,212,187,56.7,2.2
2018,Corey Brewer,72,2.9,212,196,54.1,-1.2
2014,Aaron Brooks,72,2.9,210,249,42.2,-11.9
2017,Boris Diaw,73,2.9,212,183,57.9,2.8
2004,Darius Songaila,73,2.9,214,201,53.2,1.2
2005,Mikki Moore,74,2.9,218,192,56.8,3.7
2015,JaKarr Sampson,74,2.9,216,194,55.7,2.2
2010,Chase Budinger,74,2.9,216,199,54.3,-1.1
2001,Robert Pack,74,2.9,214,221,48.4,-3.6
2003,Chauncey Billups,74,2.9,212,222,47.7,-4.8
2016,Dirk Nowitzki,75,2.9,220,189,58.2,4.2
2006,Eddie Jones,75,2.9,216,205,52.7,-1.2
2008,Bostjan Nachbar,75,2.9,220,219,50.2,-4.2
2006,Marko Jaric,75,2.9,220,219,50.2,-3.6
2018,D.J. Augustin,75,2.9,216,221,48.9,-6.5
2000,Vonteego Cummings,75,2.9,218,223,48.9,-4.1
2013,Ben Gordon,75,2.9,220,237,46.4,-7.3
2007,Trenton Hassell,76,2.9,220,193,57,2.2
1997,Travis Best,76,2.9,220,221,49.8,-2.2
2008,Damien Wilkins,76,2.9,218,224,48.7,-5.8
2004,Kirk Hinrich,76,2.9,218,253,43.1,-8.9
2022,Corey Kispert,77,2.9,224,167,67.1,10.4
2009,Keyon Dooling,77,2.9,220,187,58.8,4.4
2001,Jason Williams,77,2.9,222,196,56.6,4.6
2013,Marcus Morris Sr.,77,2.9,226,198,57.1,3.4
2018,Denzel Valentine,77,2.9,222,217,51.2,-4.2
2009,Kyle Lowry,77,2.9,226,233,48.5,-5.9
2022,Torrey Craig,78,2.9,226,175,64.6,7.9
2008,Eduardo Najera,78,2.9,226,185,61.1,6.6
2003,Shane Battier,78,2.9,226,191,59.2,6.7
2014,Josh McRoberts,78,2.9,228,197,57.9,3.8
2008,Chauncey Billups,78,2.9,228,206,55.3,0.9
2014,Jeremy Lamb,78,2.9,224,208,53.8,-0.2
2017,Jonathon Simmons,78,2.9,230,215,53.5,-1.7
2011,Evan Turner,78,2.9,224,222,50.5,-4
2004,Jason Collins,78,2.9,230,244,47.1,-4.9
2013,Jared Dudley,79,2.9,226,192,58.9,5.2
2009,Dahntay Jones,79,2.9,228,223,51.1,-3.3
2017,Marcus Morris Sr.,79,2.9,232,239,48.5,-6.6
2019,Terry Rozier,79,2.9,232,242,47.9,-7.6
2011,JR Smith,79,2.9,228,247,46.2,-8.3
2003,Troy Hudson,79,2.9,230,248,46.4,-6.1
2003,Shawn Kemp,79,2.9,228,252,45.2,-7.3
2015,Lou Williams,80,2.9,228,231,49.4,-4.2
2005,Chauncey Billups,80,2.9,232,245,47.3,-5.8
2018,Terry Rozier,80,2.9,230,270,42.6,-12.7
2011,Richard Jefferson,81,2.9,236,198,59.6,5.1
2018,Doug McDermott,81,2.9,238,205,58,2.7
2010,Danilo Gallinari,81,2.9,236,211,55.9,0.5
2000,Reggie Miller,81,2.9,238,215,55.3,2.4
2005,Gordan Giricek,81,2.9,232,217,53.5,0.4
2011,Toney Douglas,81,2.9,232,231,50.2,-4.2
2006,Devin Brown,81,2.9,232,239,48.5,-5.3
2000,Greg Ostertag,81,2.9,238,249,47.8,-5.2
2016,Roy Hibbert,81,2.9,238,250,47.6,-6.4
2014,Vince Carter,81,2.9,236,267,44.2,-9.8
2017,Marreese Speights,82,2.9,234,211,55.5,0.3
2015,Nikola Mirotic,82,2.9,234,216,54.2,0.7
2005,Chucky Atkins,82,2.9,238,219,54.3,1.2
1998,Tracy Murray,82,2.9,240,223,53.8,0.5
2014,Luis Scola,82,2.9,236,228,51.8,-2.3
2003,Alan Henderson,82,2.9,234,228,51.3,-1.2
2000,Chucky Atkins,82,2.9,238,233,51.1,-1.9
2011,Jarrett Jack,83,2.9,242,273,44.3,-10.1
2019,Alan Williams,5,2.8,14,11,63.6,8.1
2013,Brandon Roy,5,2.8,14,12,58.3,4.6
2018,Alan Williams,5,2.8,14,17,41.2,-14.1
2019,Jodie Meeks,8,2.8,22,14,78.6,23
2017,Tiago Splitter,8,2.8,22,24,45.8,-9.3
2021,Justin Patton,13,2.8,36,31,58.1,2
2022,Devontae Cacok,15,2.8,42,31,67.7,11.1
2021,Rodney McGruder,16,2.8,44,40,55,-1.1
2008,Nene,16,2.8,44,52,42.3,-12.2
1999,Christian Laettner,16,2.8,44,53,41.5,-10.3
2004,Ben Handlogten,17,2.8,48,44,54.5,2.5
2018,Isaiah Canaan,20,2.8,56,64,43.8,-11.6
2019,Troy Williams,21,2.8,58,49,59.2,3.6
2001,David Vanterpool,22,2.8,62,60,51.7,-0.3
1999,Vladimir Stepania,23,2.8,64,61,52.5,0.6
1997,Dana Barros,24,2.8,68,96,35.4,-16.6
2017,Delon Wright,27,2.8,76,74,51.4,-3.8
2016,Jarell Martin,27,2.8,76,75,50.7,-3.3
2006,Zeljko Rebraca,29,2.8,82,74,55.4,1.5
2016,Rondae Hollis-Jefferson,29,2.8,80,82,48.8,-5.2
2022,Luka Garza,32,2.8,88,76,57.9,1.3
2013,Jason Richardson,33,2.8,94,83,56.6,2.9
2020,Dennis Smith Jr.,34,2.8,94,107,43.9,-11.7
2003,Nazr Mohammed,35,2.8,98,102,48,-4.5
2017,Luis Scola,36,2.8,102,90,56.7,1.5
2004,Brandon Hunter,36,2.8,102,100,51,-1
2008,Brandan Wright,38,2.8,108,90,60,5.5
1999,Derek Anderson,38,2.8,108,110,49.1,-2.8
2013,Mike Scott,40,2.8,110,101,54.5,0.8
2019,Cameron Payne,40,2.8,112,102,54.9,-0.7
2013,Leandro Barbosa,41,2.8,116,114,50.9,-2.8
2010,Josh McRoberts,42,2.8,116,93,62.4,7
2022,Tim Hardaway Jr.,42,2.8,116,110,52.7,-3.9
2004,Melvin Ely,42,2.8,116,122,47.5,-4.5
2009,Chris Douglas-Roberts,44,2.8,122,112,54.5,0
2000,Roshown McLeod,44,2.8,124,113,54.9,1.9
2001,Billy Owens,45,2.8,124,128,48.4,-3.6
2011,DJ White,47,2.8,132,99,66.7,12.2
1999,Dirk Nowitzki,47,2.8,130,116,56,4.2
2022,Thanasis Antetokounmpo,48,2.8,132,109,60.6,3.9
2020,Cody Martin,48,2.8,134,114,58.8,3.1
2014,Miroslav Raduljica,48,2.8,132,115,57.4,3.4
2006,Anderson Varejao,48,2.8,136,118,57.6,3.8
2000,Corey Benjamin,48,2.8,136,128,53.1,0.2
2011,Jeremy Evans,49,2.8,136,97,70.1,15.6
2011,Derrick Brown,49,2.8,138,113,61.1,6.6
1999,Eric Piatkowski,49,2.8,136,128,53.1,1.3
2022,Jeremiah Robinson-Earl,49,2.8,136,131,51.9,-4.7
2005,Flip Murray,49,2.8,136,131,51.9,-1.2
1999,Tom Hammonds,49,2.8,136,140,48.6,-3.3
1999,Bobby Jackson,50,2.8,142,148,48,-3.9
2009,Brian Skinner,51,2.8,144,142,50.7,-3.7
2022,Theo Maledon,51,2.8,142,154,46.1,-10.5
2015,Thabo Sefolosha,52,2.8,144,138,52.2,-1.3
2012,Larry Sanders,52,2.8,144,139,51.8,-1.6
2009,Julian Wright,54,2.8,150,137,54.7,0.3
2005,Marcus Fizer,54,2.8,152,149,51,-2.1
2005,Jarvis Hayes,54,2.8,152,154,49.4,-3.8
2022,Jalen McDaniels,55,2.8,156,133,58.6,2
2001,Avery Johnson,55,2.8,154,155,49.7,-2.3
2016,Josh Smith,55,2.8,152,163,46.6,-7.4
2005,Eric Williams,55,2.8,154,177,43.5,-9.6
2005,DeShawn Stevenson,55,2.8,156,187,41.7,-11.4
2010,Toney Douglas,56,2.8,156,136,57.4,1.9
2013,Trevor Ariza,56,2.8,156,150,52,-1.7
2009,Aaron Gray,56,2.8,156,151,51.7,-2.8
2015,Patrick Beverley,56,2.8,158,176,44.9,-8.6
2005,Willie Green,57,2.8,162,166,48.8,-4.3
2019,James Ennis III,58,2.8,160,131,61.1,5.5
2012,DJ White,58,2.8,160,144,55.6,2.1
2004,Steven Hunter,59,2.8,164,143,57.3,5.3
2000,Ike Austin,59,2.8,164,188,43.6,-9.3
2010,Chris Hunter,60,2.8,166,146,56.8,1.4
2012,Lou Amundson,60,2.8,166,180,46.1,-7.3
2017,Chris Paul,61,2.8,172,161,53.4,-1.7
2021,Brad Wanamaker,61,2.8,168,168,50,-6.1
2008,Delonte West,61,2.8,172,196,43.9,-10.6
2009,Amir Johnson,62,2.8,172,135,63.7,9.3
2008,Amir Johnson,62,2.8,176,147,59.9,5.4
2003,Eric Piatkowski,62,2.8,176,148,59.5,7
2020,Mo Bamba,62,2.8,174,155,56.1,0.5
2004,Lonny Baxter,62,2.8,174,162,53.7,1.7
2022,Otto Porter Jr.,63,2.8,176,144,61.1,4.5
2018,Josh Hart,63,2.8,178,149,59.7,4.4
2022,Terrence Ross,63,2.8,178,158,56.3,-0.3
2002,Tony Delk,63,2.8,174,170,51.2,-1.5
2006,Marc Jackson,64,2.8,182,167,54.5,0.6
2014,Tyler Hansbrough,64,2.8,176,172,51.2,-2.9
2016,Trey Burke,64,2.8,182,198,46,-8
2015,Ramon Sessions,64,2.8,178,214,41.6,-11.9
2017,Nemanja Bjelica,65,2.8,180,157,57.3,2.2
2014,Lavoy Allen,65,2.8,182,173,52.6,-1.4
2009,Thabo Sefolosha,66,2.8,182,150,60.7,6.2
2007,Dorell Wright,66,2.8,182,165,55.2,0.4
2017,Doug McDermott,66,2.8,182,168,54.2,-1
2012,Klay Thompson,66,2.8,188,173,54.3,0.9
2022,Josh Green,67,2.8,186,150,62,5.4
2018,Nemanja Bjelica,67,2.8,186,170,54.7,-0.6
2007,Travis Outlaw,67,2.8,186,179,52,-2.8
2019,Ersan Ilyasova,67,2.8,190,181,52.5,-3.1
2019,Andre Iguodala,68,2.8,190,125,76,20.4
2005,Eduardo Najera,68,2.8,190,168,56.5,3.4
1997,John Wallace,68,2.8,188,179,52.5,0.5
2000,Eric Williams,68,2.8,190,207,45.9,-7.1
2015,Kendrick Perkins,68,2.8,192,210,45.7,-7.8
2020,Terrence Ross,69,2.8,190,168,56.5,0.9
2010,Anthony Morrow,69,2.8,190,185,51.4,-4.1
2011,Jeff Teague,70,2.8,198,194,51,-3.4
2010,Jared Jeffries,70,2.8,198,198,50,-5.4
2022,Nemanja Bjelica,71,2.8,198,178,55.6,-1
2004,David West,71,2.8,198,193,51.3,-0.7
2018,Devin Harris,71,2.8,198,194,51,-4.3
2002,Voshon Lenard,71,2.8,200,206,48.5,-4.1
2000,Richard Hamilton,71,2.8,196,210,46.7,-6.3
2011,Luke Ridnour,71,2.8,200,217,46.1,-8.4
2006,Bobby Jackson,71,2.8,202,224,45.1,-8.8
2004,Jason Williams,72,2.8,200,175,57.1,5.1
2011,Chauncey Billups,72,2.8,198,186,53.2,-1.2
2017,Gerald Henderson,72,2.8,198,189,52.4,-2.8
2009,Roko Ukic,72,2.8,198,201,49.3,-5.2
2001,Anthony Carter,72,2.8,204,203,50.2,-1.8
2014,Marcus Thornton,72,2.8,202,208,48.6,-5.5
2015,Paul Pierce,73,2.8,206,183,56.3,2.8
2005,Austin Croshere,73,2.8,208,202,51.5,-1.6
2002,Travis Best,74,2.8,204,186,54.8,2.2
1998,Travis Knight,74,2.8,204,191,53.4,0.1
2015,Al-Farouq Aminu,74,2.8,210,197,53.3,-0.2
2010,Hedo Turkoglu,74,2.8,208,201,51.7,-3.7
2001,Jamaal Magloire,74,2.8,208,204,51,-1
1997,Lamond Murray,74,2.8,210,204,51.5,-0.5
2010,Jerryd Bayless,74,2.8,206,207,49.8,-5.6
1998,Terry Cummings,74,2.8,206,214,48.1,-5.2
2002,Eric Williams,74,2.8,210,239,43.9,-8.7
2019,Nicolas Batum,75,2.8,210,175,60,4.4
2004,Aaron McKie,75,2.8,208,193,53.9,1.9
2002,Scott Padgett,75,2.8,210,203,51.7,-0.9
2006,Bobby Simmons,75,2.8,212,223,47.5,-6.3
2005,Malik Rose,76,2.8,216,210,51.4,-1.7
2009,Glen Davis,76,2.8,214,216,49.5,-4.9
2004,Anfernee Hardaway,76,2.8,212,232,45.7,-6.3
2017,Ian Clark,77,2.8,214,182,58.8,3.6
2009,Courtney Lee,77,2.8,212,189,56.1,1.7
2003,Marc Jackson,77,2.8,214,193,55.4,2.9
2013,Alexey Shved,77,2.8,214,207,51.7,-2
2017,Courtney Lee,77,2.8,218,212,51.4,-3.7
2022,Kentavious Caldwell-Pope,77,2.8,212,216,49.1,-7.6
2002,Trenton Hassell,78,2.8,216,193,56,3.3
2005,Alan Henderson,78,2.8,218,197,55.3,2.2
2017,Joe Johnson,78,2.8,220,208,52.9,-2.3
2013,Kendrick Perkins,78,2.8,220,227,48.5,-5.2
2007,Joey Graham,79,2.8,222,176,63.1,8.3
2016,Courtney Lee,79,2.8,220,198,55.6,1.6
2008,Chuck Hayes,79,2.8,224,209,53.6,-0.9
2014,Greivis Vasquez,79,2.8,224,258,43.4,-10.6
2017,Luc Mbah a Moute,80,2.8,220,189,58.2,3
2013,Ian Mahinmi,80,2.8,224,212,52.8,-0.9
2022,Evan Fournier,80,2.8,220,234,47,-9.6
2002,Hedo Turkoglu,80,2.8,224,236,47.5,-5.2
2010,Marcin Gortat,81,2.8,226,184,61.4,6
2001,Mikki Moore,81,2.8,226,193,58.5,6.5
2002,Jumaine Jones,81,2.8,226,199,56.8,4.1
2004,Jarron Collins,81,2.8,230,205,56.1,4.1
2015,Marcus Morris Sr.,81,2.8,228,209,54.5,1
2011,Courtney Lee,81,2.8,226,210,53.8,-0.7
1997,Sam Perkins,81,2.8,228,240,47.5,-4.5
1997,Chris Dudley,81,2.8,224,253,44.3,-7.7
2006,Chauncey Billups,81,2.8,226,256,44.1,-9.7
2006,Antonio McDyess,82,2.8,228,173,65.9,12
2002,Rick Fox,82,2.8,228,184,62,9.3
2019,Kentavious Caldwell-Pope,82,2.8,230,199,57.8,2.2
1998,Bryon Russell,82,2.8,232,199,58.3,5
1997,Dale Ellis,82,2.8,230,216,53.2,1.2
2003,Kendall Gill,82,2.8,228,224,50.9,-1.6
2005,Trenton Hassell,82,2.8,228,226,50.4,-2.7
2004,Earl Boykins,82,2.8,228,233,48.9,-3.1
2014,Khris Middleton,82,2.8,226,244,46.3,-7.7
1998,Eric Murdock,82,2.8,228,250,45.6,-7.7
2004,Damon Stoudamire,82,2.8,232,256,45.3,-6.7
2005,Jackie Butler,3,2.7,8,4,100,46.9
2018,Monte Morris,3,2.7,8,5,80,24.7
1999,Korleone Young,3,2.7,8,5,80,28.1
2019,Gary Payton II,3,2.7,8,6,66.7,11.1
2019,Emanuel Terry,3,2.7,8,7,57.1,1.6
2022,Micah Potter,3,2.7,8,8,50,-6.6
2021,Spencer Dinwiddie,3,2.7,8,9,44.4,-11.7
2021,Bruno Caboclo,6,2.7,16,12,66.7,10.6
2011,Mario West,6,2.7,16,14,57.1,2.7
2021,Dante Exum,6,2.7,16,15,53.3,-2.8
2008,Marcin Gortat,6,2.7,16,15,53.3,-1.1
2015,Dwight Buycks,6,2.7,16,18,44.4,-9.1
1997,Devin Gray,6,2.7,16,24,33.3,-18.7
2000,Calvin Booth,11,2.7,30,34,44.1,-8.8
2019,Isaiah Thomas,12,2.7,32,48,33.3,-22.2
2009,Corey Brewer,15,2.7,40,43,46.5,-7.9
2017,Cheick Diallo,17,2.7,46,37,62.2,7
2003,Jarron Collins,22,2.7,60,56,53.6,1.1
2000,Terry Cummings,22,2.7,60,63,47.6,-5.3
2015,Joffrey Lauvergne,24,2.7,64,63,50.8,-2.7
2021,Kevin Love,25,2.7,68,63,54,-2.1
2021,E'Twaun Moore,27,2.7,74,72,51.4,-4.7
2017,Andrew Bogut,27,2.7,72,77,46.8,-8.4
2012,Semih Erden,28,2.7,76,70,54.3,0.9
2010,Tracy McGrady,30,2.7,82,78,52.6,-2.8
2011,Reggie Evans,30,2.7,82,94,43.6,-10.8
1999,Charles Shackleford,32,2.7,86,84,51.2,-0.7
2010,Darrell Arthur,32,2.7,86,93,46.2,-9.2
2015,Samuel Dalembert,32,2.7,86,94,45.7,-7.8
2018,Quinn Cook,33,2.7,88,86,51.2,-4.2
2020,Luke Kornet,36,2.7,98,73,67.1,11.5
2020,Noah Vonleh,36,2.7,96,75,64,8.4
2021,Danuel House Jr.,36,2.7,98,94,52.1,-4
2019,Raul Neto,37,2.7,100,89,56.2,0.6
2022,Paul Reed,38,2.7,102,84,60.7,4.1
2020,Grayson Allen,38,2.7,104,94,55.3,-0.3
2004,Matt Barnes,38,2.7,104,106,49.1,-3
2013,Anthony Randolph,39,2.7,106,94,56.4,2.7
2020,Alfonzo McKinnie,40,2.7,108,91,59.3,3.7
2022,Zeke Nnaji,41,2.7,110,94,58.5,1.9
2018,Ivica Zubac,43,2.7,118,110,53.6,-1.7
2020,Shaquille Harrison,43,2.7,118,118,50,-5.6
2004,Dajuan Wagner,44,2.7,120,154,39,-13.1
2011,Martell Webster,46,2.7,122,123,49.6,-4.9
2014,Jon Leuer,49,2.7,132,112,58.9,4.9
1999,Jim Jackson,49,2.7,130,120,54.2,2.3
2012,Linas Kleiza,49,2.7,132,136,48.5,-4.9
1999,Reggie Miller,50,2.7,136,122,55.7,3.9
2013,Richard Hamilton,50,2.7,136,133,51.1,-2.6
1999,Kornel David,50,2.7,134,135,49.6,-2.2
1999,Calbert Cheaney,50,2.7,134,137,48.9,-3
2005,Marko Jaric,50,2.7,136,138,49.3,-3.8
1999,Howard Eisley,50,2.7,136,142,47.9,-4
2012,Lamar Odom,50,2.7,134,156,42.9,-10.5
2019,Hamidou Diallo,51,2.7,136,133,51.1,-4.4
2013,Jason Smith,51,2.7,138,133,51.9,-1.8
2011,Julian Wright,52,2.7,142,115,61.7,7.3
2014,Archie Goodwin,52,2.7,138,121,57,3
2012,Mo Williams,52,2.7,140,148,47.3,-6.1
2010,Rafer Alston,52,2.7,140,176,39.8,-15.6
1997,Stojko Vrankovic,53,2.7,142,118,60.2,8.2
2017,Josh Richardson,53,2.7,144,143,50.3,-4.8
1997,Loren Meyer,54,2.7,146,144,50.7,-1.3
2001,Paul McPherson,55,2.7,150,127,59.1,7
2007,Jared Jeffries,55,2.7,146,135,54.1,-0.7
2008,David Harrison,55,2.7,150,136,55.1,0.7
2008,Antoine Wright,56,2.7,152,144,52.8,-1.7
2018,Ben McLemore,56,2.7,152,145,52.4,-2.9
2000,Keith Closs,57,2.7,156,136,57.4,4.4
1997,Corie Blount,58,2.7,158,139,56.8,4.8
2022,CJ Elleby,58,2.7,154,158,48.7,-7.9
2014,Andre Miller,58,2.7,158,166,47.6,-6.5
2016,Quincy Acy,59,2.7,162,123,65.9,11.9
2007,Alexander Johnson,59,2.7,162,135,60,5.2
2005,Travis Outlaw,59,2.7,162,135,60,6.9
1998,Walt Williams,59,2.7,160,154,51.9,-1.4
2022,Austin Reaves,61,2.7,164,123,66.7,10
2009,James Singleton,62,2.7,170,126,67.5,13
2009,JJ Hickson,62,2.7,168,155,54.2,-0.2
2022,Jordan Nwora,62,2.7,170,156,54.5,-2.1
2008,Zaza Pachulia,62,2.7,168,171,49.1,-5.3
2017,James Ennis III,64,2.7,174,159,54.7,-0.4
2011,Ryan Anderson,64,2.7,170,159,53.5,-1
2012,Mario Chalmers,64,2.7,174,163,53.4,-0.1
2002,Predrag Drobnjak,64,2.7,170,167,50.9,-1.8
2013,Alec Burks,64,2.7,172,176,48.9,-4.8
2021,Immanuel Quickley,64,2.7,174,206,42.2,-13.9
2022,Josh Richardson,65,2.7,178,193,46.1,-10.5
2020,Isaac Bonga,66,2.7,180,153,58.8,3.2
2007,Keyon Dooling,66,2.7,178,168,53,-1.8
2003,Smush Parker,66,2.7,176,173,50.9,-1.6
2018,Mario Chalmers,66,2.7,180,197,45.7,-9.6
2021,Joe Ingles,67,2.7,180,148,60.8,4.7
2021,Kent Bazemore,67,2.7,178,157,56.7,0.6
2022,Furkan Korkmaz,67,2.7,180,164,54.9,-1.7
2002,Vladimir Stepania,67,2.7,182,166,54.8,2.2
2019,Josh Hart,67,2.7,182,168,54.2,-1.4
2017,Leandro Barbosa,67,2.7,180,174,51.7,-3.4
2014,Elliot Williams,67,2.7,180,176,51.1,-2.9
2016,Robert Covington,67,2.7,184,194,47.4,-6.6
2000,Antonio Daniels,68,2.7,184,154,59.7,6.8
1997,Doug West,68,2.7,184,169,54.4,2.4
2003,Rodney Rogers,68,2.7,186,195,47.7,-4.8
2017,Timothe Luwawu-Cabarrot,69,2.7,188,182,51.6,-3.5
2004,Stacey Augmon,69,2.7,188,190,49.5,-2.5
2000,Dickey Simpkins,69,2.7,186,199,46.7,-6.2
2016,Aaron Brooks,69,2.7,184,207,44.4,-9.5
2019,Wesley Matthews,69,2.7,188,213,44.1,-11.4
1997,Mark West,70,2.7,192,168,57.1,5.1
2002,Tyrone Nesby,70,2.7,192,170,56.5,3.8
1998,Mark Bryant,70,2.7,192,179,53.6,0.3
1997,Larry Stewart,70,2.7,188,182,51.6,-0.4
2005,Eddie Griffin,70,2.7,188,191,49.2,-3.9
2021,Saddiq Bey,70,2.7,186,194,47.9,-8.2
2014,Ish Smith,70,2.7,186,195,47.7,-6.3
2020,Anfernee Simons,70,2.7,188,204,46.1,-9.6
2014,Nick Calathes,71,2.7,192,180,53.3,-0.7
2014,Omri Casspi,71,2.7,194,183,53,-1
2000,Samaki Walker,71,2.7,194,185,52.4,-0.5
2018,Maxi Kleber,72,2.7,194,146,66.4,11.1
2004,Mark Madsen,72,2.7,196,179,54.7,2.7
2003,Mehmet Okur,72,2.7,196,188,52.1,-0.4
2003,Travis Best,72,2.7,196,200,49,-3.5
2009,D.J. Augustin,72,2.7,196,218,45,-9.5
2007,Anthony Parker,73,2.7,200,170,58.8,4.1
2013,Marvin Williams,73,2.7,200,173,57.8,4.1
2010,Juwan Howard,73,2.7,196,180,54.4,-1
2017,Wesley Matthews,73,2.7,196,199,49.2,-5.9
2013,Marco Belinelli,73,2.7,194,208,46.6,-7.1
2022,Kevin Love,74,2.7,198,172,57.6,0.9
2002,Lucious Harris,74,2.7,200,177,56.5,3.8
2015,Glen Davis,74,2.7,202,178,56.7,3.2
2017,Noah Vonleh,74,2.7,200,198,50.5,-4.7
2019,Bruce Brown,74,2.7,198,214,46.3,-9.3
2007,Ime Udoka,75,2.7,204,171,59.6,4.9
2017,Jameer Nelson,75,2.7,200,180,55.6,0.4
2010,Carlos Delfino,75,2.7,204,204,50,-5.4
2015,Norris Cole,75,2.7,202,211,47.9,-5.6
2019,Wayne Selden,75,2.7,206,228,45.2,-10.4
2002,Damon Stoudamire,75,2.7,202,247,40.9,-11.8
2017,Shaun Livingston,76,2.7,208,158,65.8,10.7
2014,Tayshaun Prince,76,2.7,206,187,55.1,1
2011,Willie Green,77,2.7,208,194,53.6,-0.9
2015,Jerryd Bayless,77,2.7,208,199,52.3,-1.2
2000,Detlef Schrempf,77,2.7,208,211,49.3,-3.7
2006,Danny Granger,78,2.7,214,200,53.5,-0.4
2002,Jonathan Bender,78,2.7,214,207,51.7,-1
2015,Beno Udrih,79,2.7,212,186,57,3.5
2017,Kelly Oubre Jr.,79,2.7,212,190,55.8,0.6
2014,Courtney Lee,79,2.7,216,193,56,1.9
