Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2013,Dwyane Wade,69,11.8,816,657,62.1,8.4
2019,Deandre Ayton,71,11.8,836,638,65.5,10
2017,DeMarcus Cousins,72,11.8,848,811,52.3,-2.9
2018,Clint Capela,74,11.8,876,662,66.2,10.8
2010,Dwyane Wade,77,11.8,906,733,61.8,6.4
2019,Nikola Jokic,80,11.8,942,782,60.2,4.7
2014,Andre Drummond,81,11.8,954,761,62.7,8.6
2009,Pau Gasol,81,11.8,956,787,60.7,6.3
2002,Pau Gasol,82,11.8,966,852,56.7,4
2021,Anthony Davis,36,11.7,422,329,64.1,8
2021,LeBron James,45,11.7,526,387,68,11.8
2012,Dwyane Wade,49,11.7,572,490,58.4,4.9
2008,Yao Ming,55,11.7,644,575,56,1.5
2007,Pau Gasol,59,11.7,688,597,57.6,2.9
2022,De'Aaron Fox,59,11.7,688,628,54.8,-1.8
1998,Chris Webber,71,11.7,832,685,60.7,7.4
2018,Steven Adams,76,11.7,886,698,63.5,8.1
2008,Tim Duncan,78,11.7,912,824,55.3,0.9
2018,Andre Drummond,78,11.7,916,845,54.2,-1.1
2005,LeBron James,80,11.7,938,773,60.7,7.6
2019,Steven Adams,80,11.7,932,782,59.6,4
2019,Rudy Gobert,81,11.7,950,701,67.8,12.2
2011,Brook Lopez,82,11.7,958,880,54.4,0
2020,De'Aaron Fox,51,11.6,590,536,55,-0.6
2005,Eddy Curry,63,11.6,728,622,58.5,5.4
2020,Bam Adebayo,72,11.6,834,682,61.1,5.5
2011,LaMarcus Aldridge,81,11.6,942,828,56.9,2.4
2009,Tony Parker,72,11.5,828,719,57.6,3.1
2003,Jermaine O'Neal,77,11.5,886,805,55,2.5
2009,LeBron James,81,11.5,928,705,65.8,11.4
2010,David Lee,81,11.5,932,755,61.7,6.3
2018,Julius Randle,82,11.5,944,790,59.7,4.4
1998,Alonzo Mourning,58,11.4,660,534,61.8,8.5
2010,Pau Gasol,65,11.4,744,655,56.8,1.4
2020,Rudy Gobert,68,11.4,772,555,69.5,13.9
2007,Al Jefferson,69,11.4,784,713,55,0.2
2015,Greg Monroe,69,11.4,788,775,50.8,-2.7
2001,Elton Brand,74,11.4,840,803,52.3,0.3
2000,Chris Webber,75,11.4,856,744,57.5,4.6
2011,LeBron James,79,11.4,898,719,62.4,8
2006,Carmelo Anthony,80,11.4,910,777,58.6,4.7
2018,Dwight Howard,81,11.4,926,778,59.5,4.2
2004,Zach Randolph,81,11.4,924,883,52.3,0.3
2001,Tim Duncan,82,11.4,936,833,56.2,4.2
2021,Shai Gilgeous-Alexander,35,11.3,396,346,57.2,1.1
