Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2000,Chauncey Billups,13,3.2,41,66,31.1,-12.6
1999,Chris Carr,39,3.2,126,145,43.4,1.4
1998,Chris Gatling,57,3.2,181,206,43.9,1.1
2015,Chris Johnson,29,3.2,92,106,43.4,-2.9
2001,Christian Laettner,78,3.2,248,263,47.1,3.6
2020,Cory Joseph,72,3.2,232,244,47.5,-2.9
1998,Danny Ferry,69,3.2,224,252,44.4,1.6
2011,Dante Cunningham,78,3.2,251,303,41.4,-4.5
2014,Dante Cunningham,81,3.2,262,340,38.5,-8.2
2010,Darius Songaila,75,3.2,241,280,43,-2.6
2011,Darrell Arthur,80,3.2,258,319,40.4,-5.5
2013,Darrell Arthur,59,3.2,191,212,45,-1.1
2010,David Andersen,63,3.2,203,217,46.8,1.1
2011,DeMarcus Cousins,81,3.2,261,351,37.2,-8.8
2021,Deni Avdija,54,3.2,173,186,46.5,-5.3
2022,Deni Avdija,82,3.2,266,289,46,-4.2
1999,Derek Fisher,50,3.2,162,165,49.1,7
2016,Derrick Favors,62,3.2,196,281,34.9,-12.2
2005,Devin Brown,67,3.2,217,246,44.1,-0.3
2009,Donyell Marshall,25,3.2,79,60,65.8,19.4
2018,Dorian Finney-Smith,21,3.2,68,80,42.5,-7
2014,E'Twaun Moore,79,3.2,251,259,48.5,1.7
2008,Earl Barron,46,3.2,145,201,36.1,-10
2005,Earl Watson,80,3.2,252,274,46,1.6
2002,Elden Campbell,77,3.2,244,316,38.6,-5.2
2000,Elton Brand,81,3.2,260,353,36.8,-6.8
2004,Eric Piatkowski,49,3.2,155,160,48.4,5.3
2005,Eric Piatkowski,68,3.2,217,200,54.3,9.9
2000,Eric Snow,82,3.2,265,323,41,-2.6
2007,Ersan Ilyasova,66,3.2,210,231,45.5,0
2019,Frank Ntilikina,43,3.2,138,176,39.2,-10.4
2019,Furkan Korkmaz,48,3.2,152,160,47.5,-2.1
2013,Garrett Temple,51,3.2,164,181,45.3,-0.9
2022,Garrett Temple,59,3.2,191,211,45.3,-4.9
2005,Gary Payton,77,3.2,248,295,42,-2.3
2019,George Hill,60,3.2,194,207,46.9,-2.7
2019,Henry Ellenson,19,3.2,61,48,63.5,14
2001,Horace Grant,77,3.2,248,298,41.6,-1.9
1999,Ike Austin,49,3.2,158,229,34.5,-7.6
2021,Isaiah Joe,41,3.2,131,123,53.3,1.5
2022,Isaiah Roby,45,3.2,146,114,64,13.8
2009,J.J. Barea,79,3.2,255,253,50.4,4
2002,Jacque Vaughn,82,3.2,264,274,48.2,4.4
2013,Jae Crowder,78,3.2,246,273,45.1,-1.1
2018,James Johnson,73,3.2,237,261,45.4,-4.1
2012,Jeff Teague,66,3.2,211,229,46.1,1.4
1998,Jerald Honeycutt,38,3.2,122,130,46.9,4.1
1998,Jerome Kersey,37,3.2,119,152,39.1,-3.7
2019,John Collins,61,3.2,195,205,47.6,-2
2004,John Salmons,77,3.2,244,288,42.4,-0.7
2008,John Salmons,81,3.2,259,314,41.2,-4.8
2016,Jon Leuer,67,3.2,214,228,46.9,-0.2
2011,Jonny Flynn,53,3.2,171,200,42.8,-3.2
2009,Jordan Farmar,65,3.2,209,245,42.7,-3.8
2009,Josh Smith,69,3.2,222,296,37.5,-8.9
2021,Juancho Hernangomez,52,3.2,165,170,48.5,-3.3
2022,Kelan Martin,30,3.2,96,105,45.7,-4.5
2007,Kelenna Azubuike,41,3.2,130,117,55.6,10.1
2002,Kenny Thomas,72,3.2,232,328,35.4,-8.4
2022,Kenrich Williams,49,3.2,159,159,50,-0.2
2000,Kevin Johnson,6,3.2,19,20,47.5,3.8
1998,Kevin Johnson,50,3.2,160,214,37.4,-5.5
2010,Lamar Odom,82,3.2,266,302,44,-1.6
2003,Lorenzen Wright,70,3.2,222,289,38.4,-4.9
2022,Louis King,10,3.2,32,37,43.2,-7
2009,Luis Scola,82,3.2,264,290,45.5,-0.9
2019,Malcolm Miller,10,3.2,32,22,72.7,23.2
2018,Mario Chalmers,66,3.2,209,238,43.9,-5.5
2019,Mario Hezonja,58,3.2,186,223,41.7,-7.9
2022,Markelle Fultz,18,3.2,58,70,41.4,-8.8
2017,Marquese Chriss,82,3.2,262,295,44.4,-3.9
2009,Marquis Daniels,54,3.2,174,274,31.8,-14.7
2013,Matt Bonner,68,3.2,215,173,62.1,16
2005,Matt Freije,23,3.2,74,103,35.9,-8.5
2000,Matt Geiger,65,3.2,206,279,36.9,-6.7
2004,Mehmet Okur,71,3.2,228,257,44.4,1.2
2020,Meyers Leonard,51,3.2,163,139,58.6,8.1
2020,Mikal Bridges,73,3.2,236,226,52.2,1.7
2018,Mike James,36,3.2,114,165,34.5,-14.9
2009,Morris Peterson,43,3.2,139,139,50,3.6
1999,Muggsy Bogues,36,3.2,114,114,50,7.9
2018,Myke Henry,20,3.2,63,69,45.7,-3.8
2020,Naz Reid,30,3.2,96,100,48,-2.5
2019,OG Anunoby,67,3.2,215,219,49.1,-0.5
2006,Pau Gasol,80,3.2,255,324,39.4,-5.7
2013,Paul Millsap,78,3.2,251,322,39,-7.2
2005,Primoz Brezec,72,3.2,230,303,38,-6.4
2017,Quincy Acy,38,3.2,123,110,55.9,7.6
2020,Quinn Cook,44,3.2,139,135,51.5,1
2022,R.J. Hampton,64,3.2,206,213,48.4,-1.9
2016,Raul Neto,81,3.2,258,247,52.2,5.1
2016,Rodney Stuckey,58,3.2,185,245,37.8,-9.4
1997,Ron Harper,76,3.2,242,274,44.2,1.2
2000,Roshown McLeod,44,3.2,140,219,32,-11.7
2015,Ryan Kelly,52,3.2,167,204,40.9,-5.3
2007,Sasha Vujacic,73,3.2,232,228,50.9,5.4
2000,Sean Elliott,19,3.2,61,68,44.9,1.2
2018,Sean Kilpatrick,52,3.2,164,183,44.8,-4.6
2021,Semi Ojeleye,56,3.2,180,173,52,0.2
2003,Shandon Anderson,82,3.2,260,268,48.5,5.2
2010,Shaun Livingston,36,3.2,114,119,47.9,2.3
2008,Shawne Williams,65,3.2,207,228,45.4,-0.7
2019,Stanley Johnson,66,3.2,210,246,42.7,-6.9
2005,Steve Blake,44,3.2,140,155,45.2,0.8
2003,Steve Kerr,75,3.2,241,228,52.9,9.5
2014,Steve Novak,54,3.2,172,144,59.7,13
2022,Talen Horton-Tucker,60,3.2,189,246,38.4,-11.8
2018,Thabo Sefolosha,38,3.2,123,122,50.4,1
2015,Thaddeus Young,76,3.2,242,307,39.4,-6.9
2007,Tim Duncan,80,3.2,257,303,42.4,-3
2018,Timothe Luwawu-Cabarrot,52,3.2,167,171,48.8,-0.6
2001,Tom Gugliotta,57,3.2,185,229,40.4,-3.1
2006,Toni Kukoc,65,3.2,207,227,45.6,0.5
2022,Torrey Craig,78,3.2,251,264,47.5,-2.7
2000,Trajan Langdon,10,3.2,32,31,51.6,8
2009,Trevor Ariza,82,3.2,259,303,42.7,-3.7
1999,Troy Hudson,25,3.2,79,87,45.4,3.3
2001,Vernon Maxwell,43,3.2,136,174,39.1,-4.4
2010,Vladimir Radmanovic,41,3.2,132,163,40.5,-5.1
2019,Wayne Selden,75,3.2,240,255,47.1,-2.5
2010,Wesley Matthews,82,3.2,261,256,51,5.3
2022,Wesley Matthews,49,3.2,159,160,49.7,-0.5
2014,Willie Green,55,3.2,177,205,43.2,-3.6
2005,Yao Ming,80,3.2,258,303,42.6,-1.8
2019,Yogi Ferrell,71,3.2,228,225,50.7,1.1
2017,Aaron Brooks,65,3.1,200,185,54.1,5.8
2018,Alec Burks,64,3.1,197,212,46.5,-3
2021,Alex Caruso,58,3.1,181,169,53.6,1.8
2019,Alex Len,77,3.1,240,234,51.3,1.7
2006,Andre Iguodala,82,3.1,254,274,46.4,1.3
2004,Andre Miller,82,3.1,256,363,35.3,-7.8
2012,Andrew Goudelock,40,3.1,124,138,44.9,0.3
2001,Anthony Mason,80,3.1,246,305,40.3,-3.2
2001,Antonio Davis,78,3.1,240,345,34.8,-8.7
2013,Austin Daye,55,3.1,171,161,53.1,6.9
1999,Avery Johnson,50,3.1,155,191,40.6,-1.5
2019,Ben McLemore,19,3.1,59,52,56.7,7.2
1998,Billy Owens,78,3.1,242,315,38.4,-4.5
1997,Billy Owens,66,3.1,202,268,37.7,-5.2
2017,Bobby Portis,64,3.1,200,213,46.9,-1.3
2001,Bonzi Wells,75,3.1,235,278,42.3,-1.2
2007,Boris Diaw,73,3.1,223,251,44.4,-1
2008,Boris Diaw,82,3.1,257,317,40.5,-5.5
2022,Brandon Boston,51,3.1,158,186,42.5,-7.7
2018,Brandon Jennings,14,3.1,43,49,43.9,-5.6
2007,Brian Scalabrine,54,3.1,166,158,52.5,7.1
2011,C.J. Watson,82,3.1,258,290,44.5,-1.5
2016,Cameron Payne,57,3.1,176,181,48.6,1.5
1997,Cedric Ceballos,50,3.1,156,229,34.1,-8.9
2014,Chauncey Billups,19,3.1,58,66,43.9,-2.8
2001,Chris Childs,77,3.1,238,258,46.1,2.6
2008,Chris Duhon,66,3.1,202,215,47,0.9
2020,Christian Wood,62,3.1,190,172,55.2,4.7
2004,Dajuan Wagner,44,3.1,135,152,44.4,1.3
1999,Danny Manning,50,3.1,157,191,41.1,-1
2021,Dario Saric,50,3.1,153,156,49,-2.7
1999,Darrick Martin,37,3.1,116,144,40.3,-1.8
2016,Devin Harris,64,3.1,197,203,48.5,1.4
2017,Devin Harris,65,3.1,204,208,49,0.7
2019,Dorian Finney-Smith,81,3.1,255,279,45.7,-3.9
2020,Draymond Green,43,3.1,132,171,38.6,-11.9
2014,Earl Clark,54,3.1,169,194,43.6,-3.2
2001,Eddie Gill,8,3.1,25,32,39.1,-4.4
2001,Eddie Robinson,67,3.1,210,239,43.9,0.4
2000,Elliot Perry,60,3.1,187,224,41.7,-1.9
2015,Enes Freedom,75,3.1,232,301,38.5,-7.7
1999,Eric Murdock,15,3.1,46,61,37.7,-4.4
2011,Evan Turner,78,3.1,240,305,39.3,-6.6
2005,Flip Murray,49,3.1,150,225,33.3,-11
2012,Francisco Garcia,49,3.1,154,187,41.2,-3.5
2019,Frank Jackson,61,3.1,191,224,42.6,-6.9
2018,Frank Mason III,52,3.1,159,173,46,-3.5
2005,Gerald Wallace,70,3.1,215,299,36,-8.4
2002,Grant Long,66,3.1,207,276,37.5,-6.3
2016,Greivis Vasquez,23,3.1,72,94,38.3,-8.8
2011,Henry Walker,61,3.1,189,176,53.7,7.7
2003,Ira Newble,73,3.1,228,254,44.9,1.5
2020,Jabari Parker,38,3.1,118,157,37.6,-12.9
2007,Jalen Rose,29,3.1,91,79,57.6,12.1
2012,James Jones,51,3.1,158,146,54.1,9.4
2017,Jason Terry,74,3.1,230,189,60.8,12.5
2010,Jason Thompson,75,3.1,231,298,38.8,-6.9
2019,Jeremy Lin,74,3.1,233,260,44.8,-4.8
2013,Jeremy Pargo,39,3.1,121,132,45.8,-0.3
1997,Jerome Kersey,70,3.1,214,258,41.5,-1.5
2019,Jevon Carter,39,3.1,120,138,43.5,-6.1
1997,Jon Barry,58,3.1,179,182,49.2,6.2
2021,Jordan Bone,14,3.1,44,48,45.8,-6
2008,Jorge Garbajosa,7,3.1,22,24,45.8,-0.2
2019,Josh Okogie,74,3.1,228,284,40.1,-9.4
2008,Josh Smith,81,3.1,255,401,31.8,-14.3
2009,Juan Dixon,50,3.1,155,181,42.8,-3.6
2005,Junior Harrington,29,3.1,90,120,37.5,-6.9
2021,Kenrich Williams,66,3.1,206,175,58.9,7.1
2014,Kentavious Caldwell-Pope,80,3.1,244,290,42.1,-4.7
2003,Kenyon Martin,77,3.1,235,369,31.8,-11.5
1997,Kevin Edwards,32,3.1,100,117,42.7,-0.2
2016,Kris Humphries,53,3.1,166,182,45.6,-1.5
2008,Lamar Odom,77,3.1,235,283,41.5,-4.5
2007,Lindsey Hunter,52,3.1,162,180,45,-0.5
1999,Luc Longley,39,3.1,122,135,45.2,3.1
1998,Luc Longley,58,3.1,180,241,37.3,-5.5
2018,Luc Mbah a Moute,61,3.1,189,180,52.5,3
2015,Luke Babbitt,63,3.1,195,137,71.2,24.9
2008,Luke Jackson,14,3.1,43,48,44.8,-1.3
2015,Luke Ridnour,47,3.1,144,142,50.7,4.4
2001,Marcus Fizer,72,3.1,224,309,36.2,-7.3
2016,Mario Chalmers,61,3.1,188,208,45.2,-1.9
2012,Markieff Morris,63,3.1,197,247,39.9,-4.8
2013,Marreese Speights,79,3.1,247,268,46.1,-0.1
2020,Marvin Williams,58,3.1,180,174,51.7,1.2
2019,Matthew Dellavedova,48,3.1,148,144,51.4,1.8
2022,Moritz Wagner,63,3.1,198,206,48.1,-2.2
2022,Mychal Mulder,17,3.1,53,58,45.7,-4.5
2002,Nick Anderson,15,3.1,46,66,34.8,-9
2020,Nickeil Alexander-Walker,47,3.1,148,149,49.7,-0.8
2018,Nik Stauskas,41,3.1,128,113,56.6,7.2
2017,P.J. Tucker,81,3.1,254,249,51,2.7
2014,Pablo Prigioni,66,3.1,205,154,66.6,19.8
2020,Rajon Rondo,48,3.1,149,160,46.6,-3.9
2017,Randy Foye,69,3.1,214,226,47.3,-1
2014,Ray McCallum,45,3.1,138,181,38.1,-8.6
2017,Reggie Bullock,31,3.1,96,92,52.2,3.9
2016,Richard Jefferson,74,3.1,226,212,53.3,6.2
2014,Ricky Rubio,82,3.1,252,342,36.8,-9.9
2006,Robert Horry,63,3.1,197,202,48.8,3.7
2017,Robin Lopez,81,3.1,248,285,43.5,-4.8
2001,Rodney Buford,47,3.1,144,159,45.3,1.8
2017,Rodney McGruder,78,3.1,244,265,46,-2.3
2004,Rodney Rogers,69,3.1,212,251,42.2,-0.9
1997,Rodney Rogers,81,3.1,253,340,37.2,-5.7
2017,Rodney Stuckey,39,3.1,120,154,39,-9.3
1998,Scott Burrell,80,3.1,244,251,48.6,5.7
2015,Shabazz Muhammad,38,3.1,118,146,40.4,-5.9
2000,Shammond Williams,43,3.1,132,164,40.2,-3.4
2001,Shawn Kemp,68,3.1,212,265,40,-3.5
2000,Shawn Marion,51,3.1,158,228,34.6,-9
2014,Shawn Marion,76,3.1,233,251,46.4,-0.3
2015,Shelvin Mack,55,3.1,168,182,46.2,-0.1
2017,Shelvin Mack,55,3.1,171,190,45,-3.3
2019,Shelvin Mack,57,3.1,174,199,43.7,-5.9
2004,Slava Medvedenko,68,3.1,214,271,39.5,-3.6
2015,Spencer Hawes,73,3.1,225,250,45,-1.3
2011,Steve Novak,30,3.1,94,66,71.2,25.3
2003,Steven Smith,53,3.1,164,193,42.5,-0.9
2021,Thomas Bryant,10,3.1,31,32,48.4,-3.4
1999,Tim Legler,30,3.1,92,103,44.7,2.6
2005,Tom Gugliotta,47,3.1,146,182,40.1,-4.3
2005,Toni Kukoc,53,3.1,166,172,48.3,3.9
2000,Tony Delk,46,3.1,143,177,40.4,-3.3
2019,Tony Parker,56,3.1,171,209,40.9,-8.7
2006,Travis Outlaw,69,3.1,216,256,42.2,-2.9
2019,Trey Lyles,64,3.1,197,249,39.6,-10
2022,Trey Lyles,75,3.1,231,254,45.5,-4.7
2013,Troy Murphy,14,3.1,43,51,42.2,-4
2020,Tyus Jones,65,3.1,203,200,50.8,0.3
2011,Vladimir Radmanovic,74,3.1,230,213,54,8
2004,Willie Green,53,3.1,165,185,44.6,1.5
2005,Willie Green,57,3.1,178,256,34.8,-9.6
2016,Xavier Munford,14,3.1,43,43,50,2.9
2021,Yogi Ferrell,10,3.1,31,35,44.3,-7.5
2004,Zydrunas Ilgauskas,81,3.1,254,318,39.9,-3.2
2018,Aaron Jackson,1,3.0,3,4,37.5,-12
1999,Aaron McKie,50,3.0,148,185,40,-2.1
2009,Adam Morrison,52,3.0,158,180,43.9,-2.5
2010,Al Horford,81,3.0,241,259,46.5,0.9
2017,Alec Burks,42,3.0,125,133,47,-1.3
2000,Alvin Williams,55,3.0,166,204,40.7,-3
2021,Andre Iguodala,63,3.0,186,189,49.2,-2.6
2009,Andrei Kirilenko,67,3.0,204,263,38.8,-7.6
2011,Andres Nocioni,54,3.0,162,170,47.6,1.7
2018,Anthony Brown,1,3.0,3,1,150,100.5
2008,Anthony Johnson,69,3.0,208,220,47.3,1.2
2011,Anthony Tolliver,65,3.0,195,190,51.3,5.4
1999,Arvydas Sabonis,50,3.0,149,165,45.2,3.1
2015,Austin Daye,34,3.0,102,113,45.1,-1.1
2022,Austin Reaves,61,3.0,181,192,47.1,-3.1
2012,Avery Bradley,64,3.0,190,200,47.5,2.8
1999,Bobby Jackson,50,3.0,150,200,37.5,-4.6
2006,Bonzi Wells,52,3.0,154,229,33.6,-11.5
2014,Boris Diaw,79,3.0,239,234,51.1,4.3
2015,Boris Diaw,81,3.0,242,273,44.3,-2
2016,Brandon Rush,72,3.0,216,191,56.5,9.4
1998,Brian Evans,72,3.0,217,240,45.2,2.3
1998,Bryant Stith,31,3.0,94,157,29.9,-12.9
2015,Bryce Cotton,15,3.0,45,51,44.1,-2.2
2003,Bryon Russell,70,3.0,210,245,42.9,-0.5
2005,Bryon Russell,70,3.0,208,205,50.7,6.4
2002,Calbert Cheaney,68,3.0,202,258,39.1,-4.7
2005,Casey Jacobsen,84,3.0,250,243,51.4,7.1
1999,Cedric Henderson,50,3.0,151,232,32.5,-9.5
2018,Channing Frye,53,3.0,159,152,52.3,2.8
1999,Charles Barkley,42,3.0,126,189,33.3,-8.7
2002,Charles Oakley,57,3.0,173,240,36,-7.8
2020,Chris Chiozza,28,3.0,85,82,51.8,1.3
1998,Chris Robinson,35,3.0,104,126,41.3,-1.6
1998,Chris Whitney,82,3.0,245,286,42.8,0
2004,Christian Laettner,48,3.0,142,167,42.5,-0.6
1998,Clifford Robinson,80,3.0,240,317,37.9,-5
1998,Corliss Williamson,79,3.0,240,350,34.3,-8.6
2020,Courtney Lee,24,3.0,71,59,60.2,9.7
2021,D.J. Wilson,35,3.0,106,109,48.6,-3.2
2007,Dajuan Wagner,1,3.0,3,1,150,104.5
2008,Dan Dickau,67,3.0,200,214,46.7,0.7
2014,Darius Miller,45,3.0,133,129,51.6,4.8
2013,DeMarcus Cousins,75,3.0,226,350,32.3,-13.9
2008,Derek Anderson,28,3.0,83,94,44.1,-1.9
2009,Desmon Farmer,3,3.0,9,12,37.5,-8.9
2021,Devin Cannady,8,3.0,24,21,57.1,5.4
2014,Devin Harris,40,3.0,121,137,44.2,-2.6
2019,Devin Harris,68,3.0,202,225,44.9,-4.7
2015,Donald Sloan,53,3.0,161,195,41.3,-5
1997,Duane Ferrell,62,3.0,188,195,48.2,5.3
2020,Dusty Hannahs,2,3.0,6,4,75,24.5
2019,Dwayne Bacon,43,3.0,128,115,55.7,6.1
2000,Eddie Robinson,67,3.0,202,226,44.7,1
2004,Erick Strickland,43,3.0,127,130,48.8,5.7
2019,Ersan Ilyasova,67,3.0,202,199,50.8,1.2
2007,Flip Murray,69,3.0,206,259,39.8,-5.7
2007,Francisco Garcia,79,3.0,237,252,47,1.6
2020,Frank Jackson,59,3.0,179,188,47.6,-2.9
2002,Hakeem Olajuwon,61,3.0,186,225,41.3,-2.5
2021,Henry Ellenson,2,3.0,6,9,33.3,-18.5
2021,Ignas Brazdeikis,13,3.0,39,37,52.7,0.9
2002,Ike Austin,21,3.0,62,75,41.3,-2.5
2009,Ime Udoka,67,3.0,203,224,45.3,-1.1
2015,J.J. Barea,77,3.0,234,255,45.9,-0.4
2015,Jabari Parker,25,3.0,74,99,37.4,-8.9
2016,Jabari Parker,76,3.0,231,330,35,-12.1
2019,James Johnson,55,3.0,164,175,46.9,-2.7
2016,James Jones,48,3.0,145,134,54.1,7
2022,Jamorko Pickett,13,3.0,39,40,48.8,-1.5
2019,Jared Dudley,59,3.0,179,169,53,3.4
2000,Jerome Kersey,72,3.0,217,263,41.3,-2.4
2021,Jerome Robinson,17,3.0,51,66,38.6,-13.2
2010,Jerryd Bayless,74,3.0,223,275,40.5,-5.1
2001,Jon Barry,62,3.0,185,191,48.4,4.9
2020,Jordan McLaughlin,30,3.0,91,77,59.1,8.6
2019,Jordan Sibert,1,3.0,3,1,150,100.4
2018,Jose Calderon,57,3.0,172,138,62.3,12.9
2019,Juancho Hernangomez,70,3.0,208,191,54.5,4.9
2018,Justin Anderson,38,3.0,114,115,49.6,0.1
2012,Justin Dentmon,6,3.0,18,22,40.9,-3.8
2017,Justin Hamilton,64,3.0,191,214,44.6,-3.7
1997,Keith Askins,78,3.0,237,233,50.9,7.9
2007,Keith Bogans,59,3.0,177,174,50.9,5.4
2006,Keith McLeod,66,3.0,196,268,36.6,-8.5
2010,Kenyon Martin,58,3.0,174,254,34.3,-11.4
2013,Keyon Dooling,7,3.0,21,18,58.3,12.2
2012,Kris Humphries,62,3.0,184,224,41.1,-3.6
2011,Kyle Weaver,5,3.0,15,17,44.1,-1.8
2015,Lance Stephenson,61,3.0,184,294,31.3,-15
2017,Lance Stephenson,18,3.0,54,68,39.7,-8.6
1999,Larry Johnson,49,3.0,147,172,42.7,0.7
2005,Leandro Barbosa,63,3.0,191,190,50.3,5.9
2017,Leandro Barbosa,67,3.0,199,218,45.6,-2.7
2012,Marc Gasol,65,3.0,193,255,37.8,-6.8
2021,Marc Gasol,52,3.0,158,136,58.1,6.3
2007,Marcus Camby,70,3.0,208,296,35.1,-10.3
1998,Mario Elie,73,3.0,219,253,43.3,0.4
2021,Markelle Fultz,8,3.0,24,44,27.3,-24.5
2021,Marvin Bagley III,43,3.0,127,135,47,-4.8
2010,Matt Barnes,81,3.0,242,249,48.6,3
2022,Matt Ryan,1,3.0,3,5,30,-20.2
2014,Matthew Dellavedova,72,3.0,219,207,52.9,6.1
2010,Maurice Evans,79,3.0,237,250,47.4,1.8
2021,Meyers Leonard,3,3.0,9,7,64.3,12.5
2008,Mike Conley,53,3.0,160,185,43.2,-2.8
2010,Mike James,4,3.0,12,15,40,-5.6
2021,Mo Bamba,46,3.0,140,158,44.3,-7.5
2018,Naz Mitrou-Long,1,3.0,3,1,150,100.5
2016,Norman Powell,49,3.0,146,137,53.3,6.2
2018,OG Anunoby,74,3.0,220,206,53.4,3.9
2019,Omari Spellman,46,3.0,140,138,50.7,1.2
2012,Omri Casspi,65,3.0,197,215,45.8,1.1
2014,Omri Casspi,71,3.0,213,227,46.9,0.2
2002,Oscar Torres,65,3.0,195,231,42.2,-1.6
1999,Otis Thorpe,49,3.0,146,163,44.8,2.7
2016,P.J. Tucker,82,3.0,244,265,46,-1.1
2018,Pat Connaughton,82,3.0,250,243,51.4,2
2021,Paul Millsap,56,3.0,169,177,47.7,-4
2017,Paul Zipser,44,3.0,133,145,45.9,-2.4
2012,Quentin Richardson,48,3.0,144,156,46.2,1.5
2013,Quentin Richardson,1,3.0,3,4,37.5,-8.7
2012,Rajon Rondo,53,3.0,158,205,38.5,-6.1
2018,Rajon Rondo,65,3.0,192,208,46.2,-3.3
2013,Ramon Sessions,61,3.0,181,225,40.2,-5.9
2005,Raul Lopez,31,3.0,94,101,46.5,2.2
2017,Raymond Felton,80,3.0,240,269,44.6,-3.7
2014,Reggie Williams,3,3.0,9,6,75,28.2
2015,Richard Jefferson,74,3.0,224,194,57.7,11.5
2001,Rod Strickland,54,3.0,160,224,35.7,-7.8
2010,Rodrigue Beaubois,56,3.0,167,149,56,10.4
2020,Ryan Arcidiacono,58,3.0,174,151,57.6,7.1
1999,Sam Perkins,48,3.0,143,137,52.2,10.1
2003,Scott Padgett,82,3.0,247,273,45.2,1.9
2005,Scott Padgett,66,3.0,198,180,55,10.6
2004,Scott Williams,43,3.0,128,122,52.5,9.3
2014,Shane Battier,73,3.0,221,219,50.5,3.7
2004,Shane Heal,6,3.0,18,24,37.5,-5.6
2009,Shaun Livingston,12,3.0,36,36,50,3.6
1999,Shawn Kemp,42,3.0,125,159,39.3,-2.8
2012,Shawne Williams,25,3.0,74,113,32.7,-11.9
2020,Sindarius Thornwell,2,3.0,6,3,100,49.5
2021,Solomon Hill,71,3.0,212,223,47.5,-4.3
2004,Speedy Claxton,60,3.0,180,238,37.8,-5.3
2010,Spencer Hawes,72,3.0,218,264,41.3,-4.4
2013,Stephen Jackson,55,3.0,166,202,41.1,-5.1
2019,Sterling Brown,58,3.0,173,161,53.7,4.2
2002,Steve Kerr,65,3.0,192,181,53,9.2
2016,T.J. McConnell,81,3.0,247,245,50.4,3.3
2021,T.J. Warren,4,3.0,12,24,25,-26.8
1997,Terry Cummings,45,3.0,135,159,42.5,-0.5
2017,Terry Rozier,74,3.0,224,247,45.3,-3
2008,Thabo Sefolosha,69,3.0,207,248,41.7,-4.3
2014,Thabo Sefolosha,61,3.0,184,206,44.7,-2.1
2017,Thabo Sefolosha,62,3.0,187,215,43.5,-4.8
2019,Tomas Satoransky,80,3.0,238,229,52,2.4
2004,Toni Kukoc,73,3.0,217,279,38.9,-4.2
2009,Travis Diener,55,3.0,166,155,53.5,7.1
2004,Trenton Hassell,81,3.0,246,275,44.7,1.6
2022,Trey Burke,42,3.0,126,146,43.2,-7.1
2016,Trey Lyles,80,3.0,239,245,48.8,1.7
2013,Tyrus Thomas,26,3.0,77,101,38.1,-8
1999,Tyson Wheeler,1,3.0,3,1,150,107.9
2000,Vitaly Potapenko,79,3.0,236,238,49.6,5.9
1999,Vlade Divac,50,3.0,152,203,37.4,-4.6
2019,Walt Lemon Jr.,6,3.0,18,23,39.1,-10.4
2015,Zach Randolph,71,3.0,215,288,37.3,-9
2010,Zydrunas Ilgauskas,64,3.0,191,251,38,-7.6
1999,Alan Henderson,38,2.9,110,150,36.7,-5.4
2013,Alec Burks,64,2.9,187,212,44.1,-2.1
2018,Alec Peters,20,2.9,58,62,46.8,-2.7
2001,Alonzo Mourning,13,2.9,38,53,35.8,-7.7
2014,Andray Blatche,73,2.9,209,283,36.9,-9.8
2000,Antawn Jamison,43,2.9,123,203,30.3,-13.4
2021,Anthony Lamb,24,2.9,69,71,48.6,-3.2
2004,Antonio Daniels,71,2.9,204,225,45.3,2.2
1998,Antonio Daniels,74,2.9,217,301,36,-6.8
2005,Austin Croshere,73,2.9,213,295,36.1,-8.3
2014,Beno Udrih,41,2.9,117,119,49.2,2.4
1997,Bill Wennington,61,2.9,174,155,56.1,13.2
2000,Bonzi Wells,66,2.9,194,215,45.1,1.5
2009,Brent Barry,56,2.9,161,142,56.7,10.3
1998,Brevin Knight,80,2.9,230,284,40.5,-2.4
2007,Brian Cardinal,28,2.9,80,64,62.5,17
2001,Bryant Reeves,75,2.9,221,282,39.2,-4.3
2011,Carl Landry,76,2.9,224,304,36.8,-9.1
2005,Carlos Arroyo,70,2.9,204,283,36,-8.3
2011,Cartier Martin,52,2.9,149,151,49.3,3.4
2017,Chandler Parsons,34,2.9,97,134,36.2,-12.1
2019,Channing Frye,36,2.9,106,100,53,3.4
2019,Chasson Randle,49,2.9,144,130,55.4,5.8
1998,Chris Childs,68,2.9,197,224,44,1.1
2010,Chris Douglas-Roberts,67,2.9,196,249,39.4,-6.3
2003,Chris Mills,21,2.9,61,75,40.7,-2.7
1999,Chris Whitney,39,2.9,112,118,47.5,5.4
2022,Cody Martin,71,2.9,204,195,52.3,2.1
2014,Corey Brewer,81,2.9,234,311,37.6,-9.1
2021,Cory Joseph,63,2.9,183,197,46.4,-5.3
2013,D.J. Augustin,76,2.9,219,219,50,3.8
2010,Dahntay Jones,76,2.9,224,305,36.7,-8.9
2016,Dante Cunningham,80,2.9,233,250,46.6,-0.5
2005,Darius Songaila,81,2.9,234,233,50.2,5.8
2001,David Robinson,80,2.9,228,304,37.5,-6
2022,Davon Reed,48,2.9,139,111,62.6,12.4
2020,Deandre Ayton,38,2.9,111,152,36.5,-14
1999,Derrick Coleman,37,2.9,109,175,31.1,-10.9
2009,DJ White,7,2.9,20,23,43.5,-2.9
2003,Donyell Marshall,78,2.9,223,272,41,-2.3
