Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2022,Zach LaVine,67,11.3,757,722,52.4,2.2
2019,Bradley Beal,82,11.2,921,941,48.9,-0.6
2015,Chris Paul,82,11.2,919,856,53.7,7.4
2021,D'Angelo Russell,42,11.2,470,450,52.2,0.4
2008,Dirk Nowitzki,77,11.2,861,850,50.6,4.6
2020,Duncan Robinson,73,11.2,818,620,66,15.5
1999,Glen Rice,27,11.2,303,294,51.5,9.5
2002,Glenn Robinson,66,11.2,738,746,49.5,5.7
2007,Jason Terry,81,11.2,908,788,57.6,12.2
2010,Kevin Durant,82,11.2,922,1028,44.8,-0.8
2022,Khris Middleton,66,11.2,742,712,52.1,1.9
2001,Kobe Bryant,68,11.2,760,893,42.6,-0.9
2015,Kobe Bryant,35,11.2,392,494,39.7,-6.6
2011,Nick Young,64,11.2,719,729,49.3,3.4
1999,Reggie Miller,50,11.2,558,546,51.1,9
2022,Seth Curry,64,11.2,718,603,59.5,9.3
2012,Stephen Curry,26,11.2,291,227,64.1,19.4
2021,Terry Rozier,69,11.2,772,700,55.1,3.4
2005,Allen Iverson,75,11.1,834,1025,40.7,-3.7
2018,Carmelo Anthony,78,11.1,869,935,46.5,-3
2003,David Wesley,73,11.1,813,828,49.1,5.8
2022,DeMar DeRozan,76,11.1,846,879,48.1,-2.1
2001,Glenn Robinson,76,11.1,841,934,45,1.5
2001,Jalen Rose,72,11.1,799,845,47.3,3.8
2006,Jason Richardson,75,11.1,835,868,48.1,3
2021,Jaylen Brown,58,11.1,644,566,56.9,5.1
2020,JJ Redick,60,11.1,668,541,61.7,11.3
2018,Kristaps Porzingis,48,11.1,532,550,48.4,-1.1
2017,Kyle Lowry,60,11.1,665,569,58.4,10.1
2014,LaMarcus Aldridge,69,11.1,767,913,42,-4.8
2005,Rashard Lewis,71,11.1,789,734,53.7,9.4
2011,Stephen Curry,74,11.1,823,717,57.4,11.4
2022,Tyler Herro,66,11.1,735,701,52.4,2.2
2004,Vince Carter,73,11.1,811,967,41.9,-1.2
2006,Ben Gordon,80,11.0,880,848,51.9,6.8
2014,Bradley Beal,73,11.0,800,862,46.4,-0.4
2022,Desmond Bane,76,11.0,836,704,59.4,9.2
2021,Devonte' Graham,55,11.0,607,562,54,2.2
1998,Glen Rice,82,11.0,903,906,49.8,7
2002,Jason Terry,78,11.0,858,860,49.9,6.1
2020,Jayson Tatum,66,11.0,725,672,53.9,3.5
2000,Jim Jackson,79,11.0,872,948,46,2.3
2009,Kevin Martin,51,11.0,560,570,49.1,2.7
2021,Khris Middleton,68,11.0,747,690,54.1,2.3
2013,Kyrie Irving,59,11.0,649,641,50.6,4.5
2001,Mike Bibby,82,11.0,905,921,49.1,5.6
2009,Mike Bibby,79,11.0,871,863,50.5,4
2014,Paul George,80,11.0,878,910,48.2,1.5
2007,Raja Bell,78,11.0,857,794,54,8.5
2010,Stephen Curry,80,11.0,878,811,54.1,8.5
1997,Terrell Brandon,78,11.0,855,969,44.1,1.2
2001,Tracy McGrady,77,11.0,849,972,43.7,0.2
2005,Vince Carter,77,11.0,845,886,47.7,3.3
2022,Brandon Ingram,55,10.9,599,631,47.5,-2.7
2022,Buddy Hield,81,10.9,879,826,53.2,3
2005,Cuttino Mobley,66,10.9,717,680,52.7,8.3
2020,Danilo Gallinari,62,10.9,678,604,56.1,5.6
2014,Jamal Crawford,69,10.9,749,744,50.3,3.6
2002,Jason Williams,65,10.9,711,823,43.2,-0.6
2009,Kevin Durant,74,10.9,807,882,45.7,-0.7
2013,Kobe Bryant,78,10.9,848,943,45,-1.2
2006,LeBron James,79,10.9,865,1004,43.1,-2
2005,Michael Finley,64,10.9,697,707,49.3,4.9
2001,Paul Pierce,82,10.9,897,914,49.1,5.6
2008,Steve Nash,81,10.9,885,717,61.7,15.7
2009,Vince Carter,80,10.9,871,910,47.9,1.4
2020,Zach LaVine,60,10.9,656,634,51.7,1.2
2010,Aaron Brooks,82,10.8,882,827,53.3,7.7
2014,Arron Afflalo,73,10.8,786,743,52.9,6.1
2009,Dwyane Wade,79,10.8,852,981,43.4,-3
2000,Isaiah Rider,60,10.8,648,774,41.9,-1.8
2004,Jamal Crawford,80,10.8,864,974,44.4,1.2
2017,JJ Redick,78,10.8,844,758,55.7,7.4
2000,John Starks,37,10.8,399,462,43.2,-0.5
2018,Khris Middleton,82,10.8,886,860,51.5,2.1
2015,LaMarcus Aldridge,71,10.8,765,892,42.9,-3.4
2002,Latrell Sprewell,81,10.8,877,1013,43.3,-0.5
2009,Rashard Lewis,79,10.8,851,787,54.1,7.6
2003,Shawn Marion,81,10.8,877,931,47.1,3.8
2022,Terry Rozier,73,10.8,786,720,54.6,4.4
2001,Tim Hardaway,77,10.8,828,848,48.8,5.3
1999,Tim Hardaway,48,10.8,519,552,47,4.9
2002,Wesley Person,78,10.8,843,737,57.2,13.4
