Year,Player,GP,Paint PTS,Paint PPG,Paint FGA,Paint FG%,Paint rFG%,Outside PPG, Outside GP,Outside PTS,Outside FGA,Outside eFG%,Outside reFG%,Midrange PPG,Midrange PTS,Midrange FGA,Midrange FG%,Midrange rFG%
2022,2022 Olivier Sarr,22,80,3.6,65,61.5,4.9,2.2,22,49,36,68.1,17.8,0.5,10,7,71.4,30.8
2022,2022 Omer Yurtseven,56,248,4.4,215,57.7,1,0.2,56,13,32,20.3,-29.9,0.2,10,21,23.8,-16.8
2022,2022 Onyeka Okongwu,48,312,6.5,225,69.3,12.7,0.0,48,0,1,0,-50.2,0,0,1,0,-40.6
2022,2022 Oshae Brissett,67,242,3.6,248,48.8,-7.8,3.8,67,257,256,50.2,0,0.1,8,21,19,-21.6
2022,2022 Otto Porter Jr.,63,176,2.8,144,61.1,4.5,4.6,63,289,272,53.1,2.9,0.8,52,59,44.1,3.4
2022,2022 P.J. Dozier,18,28,1.6,32,43.8,-12.9,3.3,18,59,67,44,-6.2,0.8,14,19,36.8,-3.8
2022,2022 P.J. Tucker,71,232,3.3,207,56,-0.6,3.7,71,262,221,59.3,9.1,0.3,22,29,37.9,-2.7
2022,2022 P.J. Washington,65,276,4.2,224,61.6,5,5.1,65,334,305,54.8,4.5,0.1,4,7,28.6,-12.1
2022,2022 Paris Bass,2,4,2,4,50,-6.6,0.0,2,0,2,0,-50.2,0,0,0,0,0
2022,2022 Pascal Siakam,68,888,13.1,774,57.4,0.7,5.6,68,379,432,43.9,-6.3,2.3,154,215,35.8,-4.8
2022,2022 Pat Connaughton,65,152,2.3,114,66.7,10,6.9,65,448,381,58.8,8.6,0.2,10,12,41.7,1
2022,2022 Patrick Beverley,58,170,2.9,170,50,-6.6,4.6,58,267,265,50.4,0.2,0.3,18,24,37.5,-3.1
2022,2022 Patrick Williams,17,56,3.3,47,59.6,2.9,3.9,17,67,55,60.9,10.7,1.3,22,26,42.3,1.7
2022,2022 Patty Mills,81,98,1.2,91,53.8,-2.8,9.6,81,777,700,55.5,5.3,1.2,96,135,35.6,-5.1
2022,2022 Paul George,31,206,6.6,205,50.2,-6.4,13.6,31,421,431,48.8,-1.4,4.8,148,174,42.5,1.9
2022,2022 Paul Millsap,33,68,2.1,67,50.7,-5.9,0.9,33,30,48,31.3,-19,0.2,6,13,23.1,-17.6
2022,2022 Paul Reed,38,102,2.7,84,60.7,4.1,0.2,38,8,11,36.4,-13.8,0.1,2,4,25,-15.6
2022,2022 Paul Watson,9,12,1.3,9,66.7,10,2.0,9,18,26,34.6,-15.6,0,0,0,0,0
2022,2022 Payton Pritchard,71,68,1,74,45.9,-10.7,5.0,71,352,299,58.9,8.7,0.7,52,55,47.3,6.6
2022,2022 Petr Cornelie,13,8,0.6,6,66.7,10,0.2,13,3,9,16.7,-33.5,0,0,1,0,-40.6
2022,2022 Precious Achiuwa,73,388,5.3,387,50.1,-6.5,2.7,73,198,216,45.8,-4.4,0.4,30,61,24.6,-16.1
2022,2022 Quentin Grimes,46,30,0.7,27,55.6,-1.1,5.0,46,232,208,55.8,5.6,0.3,16,19,42.1,1.5
2022,2022 Quinndary Weatherspoon,11,22,2,16,68.8,12.1,0.3,11,3,5,30,-20.2,0,0,0,0,0
2022,2022 R.J. Hampton,64,208,3.3,243,42.8,-13.8,3.2,64,206,213,48.4,-1.9,0.2,14,32,21.9,-18.8
2022,2022 Rajon Rondo,39,68,1.7,78,43.6,-13,2.5,39,99,98,50.5,0.3,0.2,6,11,27.3,-13.4
2022,2022 Raul Neto,70,290,4.1,284,51.1,-5.6,2.2,70,153,155,49.4,-0.9,0.7,48,37,64.9,24.2
2022,2022 Rayjon Tucker,5,4,0.8,2,100,43.4,2.4,5,12,7,85.7,35.5,0,0,2,0,-40.6
2022,2022 Reggie Bullock,68,86,1.3,78,55.1,-1.5,6.7,68,456,423,53.9,3.7,0.5,36,33,54.5,13.9
2022,2022 Reggie Jackson,75,488,6.5,482,50.6,-6,8.5,75,637,738,43.2,-7.1,1.8,136,228,29.8,-10.8
2022,2022 Reggie Perry,10,64,6.4,54,59.3,2.6,1.9,10,19,25,38,-12.2,1,10,9,55.6,14.9
2022,2022 Richaun Holmes,45,378,8.4,282,67,10.4,0.4,45,20,18,55.6,5.3,0.3,14,13,53.8,13.2
2022,2022 Ricky Rubio,34,130,3.8,165,39.4,-17.2,6.7,34,227,244,46.5,-3.7,1.5,50,73,34.2,-6.4
2022,2022 RJ Barrett,70,642,9.2,698,46,-10.6,6.7,70,469,495,47.4,-2.8,0.8,58,93,31.2,-9.5
2022,2022 RJ Nembhard Jr.,14,12,0.9,13,46.2,-10.5,0.0,14,0,5,0,-50.2,0,0,3,0,-40.6
2022,2022 Rob Edwards,2,0,0,0,0,0,1.5,2,3,4,37.5,-12.7,0,0,0,0,0
2022,2022 Robert Covington,71,152,2.1,143,53.1,-3.5,5.5,71,394,355,55.5,5.3,0.1,10,16,31.3,-9.4
