Season,Team,Opponent eFG%,Opponent TS%
1993-94,DAL,51.3,56.0
1992-93,DAL,51.9,57.7
1991-92,DAL,48.3,53.3
1990-91,DAL,49.5,53.9
1989-90,DAL,48.1,52.6
1988-89,DAL,48.0,52.2
1987-88,DAL,48.1,52.2
1986-87,DAL,48.6,53.2
1985-86,DAL,50.8,54.5
1984-85,DAL,51.0,55.1
1983-84,DAL,50.3,54.7
1982-83,DAL,50.6,54.5
1981-82,DAL,51.0,55.5
1980-81,DAL,51.6,55.8
2021-22,DEN,53.7,56.9
2020-21,DEN,54.5,57.9
2019-20,DEN,53.3,56.7
2018-19,DEN,52.1,55.5
2017-18,DEN,53.9,56.7
2016-17,DEN,53.2,56.7
2015-16,DEN,51.5,55.4
2014-15,DEN,50.4,54.6
2013-14,DEN,50.0,54.3
2012-13,DEN,49.3,52.8
2011-12,DEN,50.8,54.2
2010-11,DEN,50.0,54.2
2009-10,DEN,49.5,54.2
2008-09,DEN,48.5,53.6
2007-08,DEN,49.9,53.5
2006-07,DEN,49.9,53.5
2005-06,DEN,49.3,53.4
2004-05,DEN,48.2,52.8
2003-04,DEN,48.1,52.2
2002-03,DEN,47.7,53.3
2001-02,DEN,49.2,53.7
2000-01,DEN,47.6,51.9
1999-00,DEN,47.9,52.4
1998-99,DEN,49.9,54.3
1997-98,DEN,50.6,55.6
1996-97,DEN,50.1,53.9
1995-96,DEN,49.2,53.7
1994-95,DEN,48.7,53.5
1993-94,DEN,45.3,50.4
1992-93,DEN,47.6,52.7
1991-92,DEN,49.4,54.6
1990-91,DEN,52.4,57.6
1989-90,DEN,50.1,55.0
1988-89,DEN,50.5,55.0
1987-88,DEN,49.8,54.6
1986-87,DEN,50.3,55.9
1985-86,DEN,49.5,54.2
1984-85,DEN,51.6,56.4
1983-84,DEN,52.2,56.8
1982-83,DEN,50.9,54.8
1981-82,DEN,52.8,56.3
1980-81,DEN,50.9,55.0
1979-80,DEN,49.7,53.9
1978-79,DEN,47.7,52.1
1977-78,DEN,47.2,51.5
1976-77,DEN,46.3,50.5
2021-22,DET,54.1,58.0
2020-21,DET,54.1,57.4
2019-20,DET,54.1,57.4
2018-19,DET,52.6,56.2
2017-18,DET,52.4,55.6
2016-17,DET,51.6,55.3
2015-16,DET,50.4,54.2
2014-15,DET,50.2,53.9
2013-14,DET,52.0,55.9
2012-13,DET,50.5,54.3
2011-12,DET,50.0,54.3
2010-11,DET,52.6,56.7
2009-10,DET,52.6,57.2
2008-09,DET,48.5,53.4
2007-08,DET,47.0,51.7
2006-07,DET,47.7,52.2
2005-06,DET,47.7,51.4
2004-05,DET,46.1,50.4
2003-04,DET,44.1,48.4
2002-03,DET,46.1,50.6
2001-02,DET,47.4,51.6
2000-01,DET,46.6,51.1
1999-00,DET,49.9,54.4
1998-99,DET,46.8,51.5
1997-98,DET,47.4,52.1
1996-97,DET,48.7,52.4
1995-96,DET,48.3,52.4
1994-95,DET,51.0,55.8
1993-94,DET,49.3,54.0
1992-93,DET,50.0,53.8
1991-92,DET,46.8,51.0
1990-91,DET,46.4,51.5
1989-90,DET,46.1,51.4
1988-89,DET,45.8,51.4
1987-88,DET,47.5,52.4
1986-87,DET,47.1,52.3
1985-86,DET,49.6,54.5
1984-85,DET,50.1,54.6
1983-84,DET,50.0,54.7
1982-83,DET,49.6,53.4
1981-82,DET,51.2,55.1
1980-81,DET,51.2,55.4
1979-80,DET,49.9,54.5
1978-79,DET,49.3,53.5
1977-78,DET,47.9,52.2
1976-77,DET,47.2,52.3
2021-22,GSW,50.9,54.6
2020-21,GSW,52.2,56.2
2019-20,GSW,55.3,58.6
2018-19,GSW,50.8,54.6
2017-18,GSW,50.4,53.9
2016-17,GSW,48.6,52.5
2015-16,GSW,47.9,52.0
2014-15,GSW,47.0,51.4
2013-14,GSW,47.7,52.2
2012-13,GSW,48.6,52.6
2011-12,GSW,49.6,53.9
2010-11,GSW,50.9,55.7
2009-10,GSW,52.5,57.0
2008-09,GSW,50.8,55.5
2007-08,GSW,50.9,55.5
2006-07,GSW,50.6,55.2
2005-06,GSW,49.2,53.6
2004-05,GSW,49.1,53.3
2003-04,GSW,47.6,51.7
2002-03,GSW,48.2,52.5
2001-02,GSW,48.8,53.3
2000-01,GSW,50.4,54.6
1999-00,GSW,49.9,54.6
1998-99,GSW,44.5,50.2
1997-98,GSW,46.9,51.5
1996-97,GSW,51.8,55.9
1995-96,GSW,51.0,55.1
1994-95,GSW,52.2,55.6
